DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2017-0259-VNM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,"Ha Giang, Lao Cai, Dien Bien, Yen Bai (Mu Cang Chai district), Tuyen Quang, Thai Nguyen, Lai Chau, Bac Kan, Cao Bang (Hoa An district), Binh Thuan, An Giang, Cà Mau (Nam Can, Ngoc Hien and Dam Doi districts) Provinces",,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2017,6,27,2017,7,5,1,4,4100,,4104,,,,,355,454,78.14100176,"[{""adm1_code"":3326,""adm1_name"":""An Giang""},{""adm1_code"":3328,""adm1_name"":""Bac Kan""},{""adm1_code"":3336,""adm1_name"":""Binh Thuan""},{""adm1_code"":3338,""adm1_name"":""Cao Bang""},{""adm1_code"":3339,""adm1_name"":""Ca Mau""},{""adm1_code"":3345,""adm1_name"":""Ha Giang""},{""adm1_code"":3381,""adm1_name"":""Thai Nguyen""},{""adm1_code"":3387,""adm1_name"":""Tuyen Quang""},{""adm1_code"":3390,""adm1_name"":""Yen Bai""},{""adm1_code"":73936,""adm1_name"":""Dien Bien""},{""adm1_code"":73938,""adm1_name"":""Lai Chau""},{""adm1_code"":73939,""adm1_name"":""Lao Cai""}]",2017-07-18,2023-09-25
2017-0270-VNM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,"Thai Nguyen, Ha Giang, Dien Bien, Hoa Binh, Cao Bang",Heavy rainfall,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2017,7,7,2017,7,10,14,,400,,400,,,,,1300,1664,78.14100176,"[{""adm1_code"":3338,""adm1_name"":""Cao Bang""},{""adm1_code"":3345,""adm1_name"":""Ha Giang""},{""adm1_code"":3353,""adm1_name"":""Hoa Binh""},{""adm1_code"":3381,""adm1_name"":""Thai Nguyen""},{""adm1_code"":73936,""adm1_name"":""Dien Bien""}]",2017-07-18,2023-09-25
2017-0337-VNM,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,GLIDE:FF-2017-000101,,VNM,Viet Nam,South-eastern Asia,Asia,"Yen Bai (Mu Cang Chai district), Son La (Muong La), Bac Kan, Lai Chau (Nam-Ho Dien Bien district), Dien Bien",,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,Da river,2017,8,3,2017,8,3,39,21,3000,1140,4161,,,,,88000,112617,78.14100176,"[{""adm1_code"":3328,""adm1_name"":""Bac Kan""},{""adm1_code"":3378,""adm1_name"":""Son La""},{""adm1_code"":3390,""adm1_name"":""Yen Bai""},{""adm1_code"":73936,""adm1_name"":""Dien Bien""},{""adm1_code"":73938,""adm1_name"":""Lai Chau""}]",2017-08-16,2025-06-25
2017-0428-VNM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FF-2017-000152,,VNM,Viet Nam,South-eastern Asia,Asia,"Thanh Hoa, Nghe An, Ha Tinh, Hoa Binh, Yen Bai (V?n Tr?n, Tr?m T?u districts, Ngh?a L? Town), Son La, Quang Tri, Ha Noi (Nam Hai, Chong My), Phu Tho, Ha Nam",Tropical Depression 23W,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,"Mã, La, Ngàn Sâu, and Ngàn Ph? Rivers",2017,10,8,2017,10,16,75,38,40000,,40038,,,,,88000,112617,78.14100176,"[{""adm1_code"":3346,""adm1_name"":""Ha Nam""},{""adm1_code"":3347,""adm1_name"":""Ha Noi City""},{""adm1_code"":3349,""adm1_name"":""Ha Tinh""},{""adm1_code"":3353,""adm1_name"":""Hoa Binh""},{""adm1_code"":3366,""adm1_name"":""Nghe An""},{""adm1_code"":3369,""adm1_name"":""Phu Tho""},{""adm1_code"":3376,""adm1_name"":""Quang Tri""},{""adm1_code"":3378,""adm1_name"":""Son La""},{""adm1_code"":3382,""adm1_name"":""Thanh Hoa""},{""adm1_code"":3390,""adm1_name"":""Yen Bai""}]",2017-11-06,2023-09-25
2017-0492-VNM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),DFO:4541,,VNM,Viet Nam,South-eastern Asia,Asia,"Quang Tri, Thua Thien-Hue, Da Nang, Quang Nam, Quang Ngai, Binh Dinh",Tropical depression,,No,No,No,,27646.32,Km2,11.664,108.399,Cu De River,2017,11,19,2017,11,24,8,,41500,,41500,,,,,,,78.14100176,"[{""adm1_code"":3333,""adm1_name"":""Binh Dinh""},{""adm1_code"":3340,""adm1_name"":""Da Nang City""},{""adm1_code"":3372,""adm1_name"":""Quang Nam""},{""adm1_code"":3374,""adm1_name"":""Quang Ngai""},{""adm1_code"":3376,""adm1_name"":""Quang Tri""},{""adm1_code"":3383,""adm1_name"":""Thua Thien - Hue""}]",2017-11-28,2023-09-25
2018-0204-VNM,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,VNM,Viet Nam,South-eastern Asia,Asia,Lai Chau,,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2018,6,23,2018,6,27,33,18,16710,,16728,,,,,23000,28732,80.04959626,"[{""adm1_code"":73938,""adm1_name"":""Lai Chau""}]",2018-07-19,2023-09-25
2018-0369-VNM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,Northern provinces,Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2018,8,29,2018,9,5,20,,6000,,6000,,,,,,,80.04959626,"[{""adm1_code"":3328,""adm1_name"":""Bac Kan""},{""adm1_code"":3329,""adm1_name"":""Bac Giang""},{""adm1_code"":3331,""adm1_name"":""Bac Ninh""},{""adm1_code"":3338,""adm1_name"":""Cao Bang""},{""adm1_code"":3345,""adm1_name"":""Ha Giang""},{""adm1_code"":3346,""adm1_name"":""Ha Nam""},{""adm1_code"":3347,""adm1_name"":""Ha Noi City""},{""adm1_code"":3350,""adm1_name"":""Hai Duong""},{""adm1_code"":3351,""adm1_name"":""Hai Phong City""},{""adm1_code"":3353,""adm1_name"":""Hoa Binh""},{""adm1_code"":3354,""adm1_name"":""Hung Yen""},{""adm1_code"":3360,""adm1_name"":""Lang Son""},{""adm1_code"":3364,""adm1_name"":""Nam Dinh""},{""adm1_code"":3367,""adm1_name"":""Ninh Binh""},{""adm1_code"":3369,""adm1_name"":""Phu Tho""},{""adm1_code"":3375,""adm1_name"":""Quang Ninh""},{""adm1_code"":3378,""adm1_name"":""Son La""},{""adm1_code"":3380,""adm1_name"":""Thai Binh""},{""adm1_code"":3381,""adm1_name"":""Thai Nguyen""},{""adm1_code"":3387,""adm1_name"":""Tuyen Quang""},{""adm1_code"":3389,""adm1_name"":""Vinh Phuc""},{""adm1_code"":3390,""adm1_name"":""Yen Bai""},{""adm1_code"":73936,""adm1_name"":""Dien Bien""},{""adm1_code"":73938,""adm1_name"":""Lai Chau""},{""adm1_code"":73939,""adm1_name"":""Lao Cai""}]",2018-10-11,2024-04-10
2018-0448-VNM,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Thanh Hoa, Binh Dinh, Nghe An, Quang Tri, Quang Ngai, Quang Nam, Da Nang",Heavy rains,,No,No,No,,,Km2,,,,2018,12,8,2018,12,10,14,,105000,,105000,,,,,25000,31231,80.04959626,"[{""adm1_code"":3333,""adm1_name"":""Binh Dinh""},{""adm1_code"":3340,""adm1_name"":""Da Nang City""},{""adm1_code"":3366,""adm1_name"":""Nghe An""},{""adm1_code"":3372,""adm1_name"":""Quang Nam""},{""adm1_code"":3374,""adm1_name"":""Quang Ngai""},{""adm1_code"":3376,""adm1_name"":""Quang Tri""},{""adm1_code"":3382,""adm1_name"":""Thanh Hoa""}]",2018-12-11,2023-09-25
2019-0265-VNM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,"Ha Giang, Bac Kan, Cao Bang and Yen Bai Provinces",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2019,5,27,2019,5,30,3,,,265,265,,,,,,,81.50030941,"[{""adm1_code"":3328,""adm1_name"":""Bac Kan""},{""adm1_code"":3338,""adm1_name"":""Cao Bang""},{""adm1_code"":3345,""adm1_name"":""Ha Giang""},{""adm1_code"":3390,""adm1_name"":""Yen Bai""}]",2019-06-20,2023-09-25
2019-0380-VNM,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Quang Ninh, Lang Son, Thanh Hóa",Tropical Cyclone Wipha,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2019,8,5,2019,8,5,19,,1000,500,1500,,,,,45000,55215,81.50030941,"[{""adm1_code"":3360,""adm1_name"":""Lang Son""},{""adm1_code"":3375,""adm1_name"":""Quang Ninh""},{""adm1_code"":3382,""adm1_name"":""Thanh Hoa""}]",2019-08-05,2024-08-27
