DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2019-0393-VNM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2019-000092,,VNM,Viet Nam,South-eastern Asia,Asia,"Kien Giang, Lam Dong, Dak Lak, Dac Nong, Gia Lai, Kon Tum, Dong Nai, Binh Thuan, Binh Phuoc",Torrential rains,,No,No,No,,,Km2,,,,2019,8,8,2019,8,10,12,5,61535,,61540,,,,,,,81.50030941,"[{""adm1_code"":3335,""adm1_name"":""Binh Phuoc""},{""adm1_code"":3336,""adm1_name"":""Binh Thuan""},{""adm1_code"":3342,""adm1_name"":""Dong Nai""},{""adm1_code"":3344,""adm1_name"":""Gia Lai""},{""adm1_code"":3356,""adm1_name"":""Kien Giang""},{""adm1_code"":3357,""adm1_name"":""Kon Tum""},{""adm1_code"":3359,""adm1_name"":""Lam Dong""},{""adm1_code"":73934,""adm1_name"":""Dak Lak""},{""adm1_code"":73935,""adm1_name"":""Dak Nong""}]",2019-08-27,2025-06-25
2019-0419-VNM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,"Quang Binh, Ha Tinh and Lao Cai provinces.",Tropical Storm PODUL and Tropical Depression KAJIKI's,,No,No,No,,,Km2,,,,2019,9,11,2019,9,11,10,,36450,,36450,,,,,13000,15951,81.50030941,"[{""adm1_code"":3349,""adm1_name"":""Ha Tinh""},{""adm1_code"":3371,""adm1_name"":""Quang Binh""},{""adm1_code"":73939,""adm1_name"":""Lao Cai""}]",2019-09-20,2023-09-25
2019-0482-VNM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,"Nghe An, Bình Dinh, Hà Tinh Provinces",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2019,10,15,2019,10,22,3,5,26250,,26255,,,,,,,81.50030941,"[{""adm1_code"":3333,""adm1_name"":""Binh Dinh""},{""adm1_code"":3349,""adm1_name"":""Ha Tinh""},{""adm1_code"":3366,""adm1_name"":""Nghe An""}]",2019-10-22,2023-09-25
2020-0328-VNM,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Ha Giang, Bac Giang provinces",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2020,7,18,2020,7,21,5,1,2620,,2621,,,,,22000,26665,82.50568385,"[{""adm1_code"":3329,""adm1_name"":""Bac Giang""},{""adm1_code"":3345,""adm1_name"":""Ha Giang""}]",2020-08-10,2023-09-25
2021-0217-VNM,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Minh Luong Commune, Viet Tien (Van Ban District, Lao Cai province); Bac Quang (Ha Giang province); Tan Dong (Yen Bai Province), Ha Giang Province",Heay rains,,No,No,No,,,Km2,,,,2021,4,16,2021,4,19,3,,180,,180,,,,,,,86.38165694,"[{""adm1_code"":3345,""adm1_name"":""Ha Giang""},{""adm2_code"":32671,""adm2_name"":""Tran Yen""},{""adm2_code"":32447,""adm2_name"":""Van Ban""}]",2021-04-19,2023-09-25
2021-0632-VNM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,Northern and central regions  (include Quang Ngai),"Heavy rains, tropical cyclone DIANMU","Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2021,9,23,2021,9,27,3,3,13600,,13603,,,,,,,86.38165694,"[{""adm1_code"":3328,""adm1_name"":""Bac Kan""},{""adm1_code"":3329,""adm1_name"":""Bac Giang""},{""adm1_code"":3331,""adm1_name"":""Bac Ninh""},{""adm1_code"":3333,""adm1_name"":""Binh Dinh""},{""adm1_code"":3336,""adm1_name"":""Binh Thuan""},{""adm1_code"":3338,""adm1_name"":""Cao Bang""},{""adm1_code"":3340,""adm1_name"":""Da Nang City""},{""adm1_code"":3344,""adm1_name"":""Gia Lai""},{""adm1_code"":3345,""adm1_name"":""Ha Giang""},{""adm1_code"":3346,""adm1_name"":""Ha Nam""},{""adm1_code"":3347,""adm1_name"":""Ha Noi City""},{""adm1_code"":3349,""adm1_name"":""Ha Tinh""},{""adm1_code"":3350,""adm1_name"":""Hai Duong""},{""adm1_code"":3351,""adm1_name"":""Hai Phong City""},{""adm1_code"":3353,""adm1_name"":""Hoa Binh""},{""adm1_code"":3354,""adm1_name"":""Hung Yen""},{""adm1_code"":3355,""adm1_name"":""Khanh Hoa""},{""adm1_code"":3357,""adm1_name"":""Kon Tum""},{""adm1_code"":3359,""adm1_name"":""Lam Dong""},{""adm1_code"":3360,""adm1_name"":""Lang Son""},{""adm1_code"":3364,""adm1_name"":""Nam Dinh""},{""adm1_code"":3366,""adm1_name"":""Nghe An""},{""adm1_code"":3367,""adm1_name"":""Ninh Binh""},{""adm1_code"":3368,""adm1_name"":""Ninh Thuan""},{""adm1_code"":3369,""adm1_name"":""Phu Tho""},{""adm1_code"":3370,""adm1_name"":""Phu Yen""},{""adm1_code"":3371,""adm1_name"":""Quang Binh""},{""adm1_code"":3372,""adm1_name"":""Quang Nam""},{""adm1_code"":3374,""adm1_name"":""Quang Ngai""},{""adm1_code"":3375,""adm1_name"":""Quang Ninh""},{""adm1_code"":3376,""adm1_name"":""Quang Tri""},{""adm1_code"":3378,""adm1_name"":""Son La""},{""adm1_code"":3380,""adm1_name"":""Thai Binh""},{""adm1_code"":3381,""adm1_name"":""Thai Nguyen""},{""adm1_code"":3382,""adm1_name"":""Thanh Hoa""},{""adm1_code"":3383,""adm1_name"":""Thua Thien - Hue""},{""adm1_code"":3387,""adm1_name"":""Tuyen Quang""},{""adm1_code"":3389,""adm1_name"":""Vinh Phuc""},{""adm1_code"":3390,""adm1_name"":""Yen Bai""},{""adm1_code"":73934,""adm1_name"":""Dak Lak""},{""adm1_code"":73935,""adm1_name"":""Dak Nong""},{""adm1_code"":73936,""adm1_name"":""Dien Bien""},{""adm1_code"":73938,""adm1_name"":""Lai Chau""},{""adm1_code"":73939,""adm1_name"":""Lao Cai""}]",2021-09-29,2024-04-23
2021-0763-VNM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,"Quang Nam, Quang Ngai, Binh Dinh, Dak Lak, Kon Tum, Phu Yen Provinces",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2021,11,27,2021,11,30,18,,300000,,300000,,,,,,,86.38165694,"[{""adm1_code"":3333,""adm1_name"":""Binh Dinh""},{""adm1_code"":3357,""adm1_name"":""Kon Tum""},{""adm1_code"":3370,""adm1_name"":""Phu Yen""},{""adm1_code"":3372,""adm1_name"":""Quang Nam""},{""adm1_code"":3374,""adm1_name"":""Quang Ngai""},{""adm1_code"":73934,""adm1_name"":""Dak Lak""}]",2021-11-30,2023-09-25
2022-0172-VNM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,"Tuyen Quang,Bac Kan and Cao Bang provinces",,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2022,3,22,2022,3,23,,1,225,,226,,,,,,,93.29460735,"[{""adm1_code"":3328,""adm1_name"":""Bac Kan""},{""adm1_code"":3338,""adm1_name"":""Cao Bang""},{""adm1_code"":3387,""adm1_name"":""Tuyen Quang""}]",2022-03-25,2023-09-25
2022-0320-VNM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,"Tuyen Quang, Hoa Binh, Dien Bien, Cao Bang, Vinh Phuc, Ha Giang, Yen Bai, Lao Cai, Thai Nguyen, Phu Tho, and Hanoi",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2022,5,21,2022,5,30,13,4,2550,,2554,,,,,,,93.29460735,"[{""adm1_code"":3338,""adm1_name"":""Cao Bang""},{""adm1_code"":3345,""adm1_name"":""Ha Giang""},{""adm1_code"":3353,""adm1_name"":""Hoa Binh""},{""adm1_code"":3369,""adm1_name"":""Phu Tho""},{""adm1_code"":3370,""adm1_name"":""Phu Yen""},{""adm1_code"":3381,""adm1_name"":""Thai Nguyen""},{""adm1_code"":3387,""adm1_name"":""Tuyen Quang""},{""adm1_code"":3389,""adm1_name"":""Vinh Phuc""},{""adm1_code"":3390,""adm1_name"":""Yen Bai""},{""adm1_code"":73936,""adm1_name"":""Dien Bien""}]",2022-05-30,2023-09-26
2022-0515-VNM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2022-000292,,VNM,Viet Nam,South-eastern Asia,Asia,Dak Lak,"Heavy rains, Tropical Depression Mulan",,No,No,No,,,Km2,,,,2022,8,14,2022,8,16,10,,,,,,,,,,,93.29460735,"[{""adm1_code"":73934,""adm1_name"":""Dak Lak""}]",2022-08-16,2023-09-26
2022-0667-VNM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,"Nghia Hanh and Duc Pho Districts (Quang Ngai province); Quang Nam,Thua Thien Hue",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2022,10,10,2022,10,11,2,,10000,,10000,,,,,,,93.29460735,"[{""adm1_code"":3372,""adm1_name"":""Quang Nam""},{""adm1_code"":3383,""adm1_name"":""Thua Thien - Hue""},{""adm2_code"":32533,""adm2_name"":""Duc Pho""},{""adm2_code"":32536,""adm2_name"":""Nghia Hanh""}]",2022-10-13,2023-09-26
2022-0795-VNM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,"Quang Nam, Quang Tri, Phu Yen, Phu Loc district (Thua Thien Hue) provinces",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2022,12,1,2022,12,4,5,,10495,,10495,,,,,1500,1608,93.29460735,"[{""adm1_code"":3370,""adm1_name"":""Phu Yen""},{""adm1_code"":3372,""adm1_name"":""Quang Nam""},{""adm1_code"":3376,""adm1_name"":""Quang Tri""},{""adm2_code"":32626,""adm2_name"":""Phu Loc""}]",2022-12-08,2023-09-26
2023-0263-VNM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,"Cao Bang, Lao Cai, Yen Bai, Phu Tho, Dien Bien, Tuyen Quang, and Thai Nguyen provinces",Heavy rains,Hail|Lightening,No,No,No,,,Km2,,,,2023,4,28,2023,4,30,,,6540,,6540,,,,,,,97.13499264,,2023-05-02,2024-02-28
2023-0488-VNM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,"Lam Dong Province (central Vietnam), Binh Thuan Province (south-eastern Vietnam) and Bac Lieu Province (southern Vietnam)",,"Slide (land, mud, snow, rock)|Storm",No,No,No,,,Km2,,,,2023,7,30,2023,7,31,7,,1730,445,2175,,,,,,,97.13499264,,2023-07-31,2024-02-28
2023-0518-VNM,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,GLIDE:FF-2023-000136,,VNM,Viet Nam,South-eastern Asia,Asia,"Lai Chau, Yen Bai, Son La, Lao Cai, Dien Bien, Thai Nguyen, Gia Lai, Dak Lak, Dak Nong, and Lam Dong provinces",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2023,8,4,2023,8,7,15,8,214527,,214535,,,,,,,97.13499264,,2023-08-09,2024-08-27
2023-0635-VNM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,"Yen Bai, Thai Nguyen et Tuyen Quang provinces",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2023,10,6,2023,10,7,2,,1900,,1900,,,,,,,97.13499264,,2023-10-09,2024-10-28
2024-0358-VNM,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,"Dien Bien, Lao Cai, Ha Giang, Yen Bai, Cao Bang, Lang Son, Thai Nguyen, Bac Giang, Quang Ninh and Hai Phong",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2024,6,9,2024,6,10,3,,9628,,9628,,,,,,,100,,2024-06-12,2024-06-14
