system:index,date,rainfall_3day_cumulative_mm,rainfall_5day_cumulative_mm,rainfall_7day_cumulative_mm,rainfall_max_mm,rainfall_mean_mm,rainfall_std_mm,soil_moisture_top10cm_mm,subsurface_runoff_mm,surface_runoff_mm,.geo
20110325,3/25/2011,12.873952149329279,13.205136933487989,13.228724338973459,9.808374404907227,4.385140270218651,2.9062818221494404,27.911650328579427,0.038808830709391035,0.037604335,"{""type"":""MultiPoint"",""coordinates"":[]}"
20110326,3/26/2011,11.220423402607553,17.870383532849274,18.225155722493458,7.998610019683838,5.022984590402818,2.7567681905260417,29.45091500950797,0.038453714,0.040550869,"{""type"":""MultiPoint"",""coordinates"":[]}"
20110327,3/27/2011,13.272711242840543,21.66024930194267,21.99143408610138,7.784821033477783,3.9493996983682442,3.1419465883137025,28.98618532250844,0.038096885706204224,0.021201935,"{""type"":""MultiPoint"",""coordinates"":[]}"
20110328,3/28/2011,8.877744804649078,15.101736823736642,21.75169695397837,5.923614025115967,0.10430808280530987,0.9639455658465914,29.349026260139162,0.037789891,0.00820477,"{""type"":""MultiPoint"",""coordinates"":[]}"
20110329,3/29/2011,3.881313421129092,13.364158894876242,21.75169695397837,0,0,0,28.67176800691829,0.037473481612727365,7.655975152729358E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20110330,3/30/2011,0.10891881824193538,8.895215970855313,15.119207989942876,10.27605152130127,0.017889406166824637,0.9100339832880152,27.943230095639848,0.037124754,1.556130327993548E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20110331,3/31/2011,0.028612483083874922,3.9099259042129675,13.392771377960118,5.458428382873535,0.020286516394395847,0.47690616529484053,27.28102327318187,0.036703383370132604,1.22090012435664E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
20110401,4/1/2011,0.028612483083874922,0.12006013511957594,8.906357287732954,0,0,0,26.719254872124242,0.036244614,2.529746444111852E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
20110402,4/2/2011,0.011141316877640584,0.028612483083874922,3.9099259042129675,0,0,0,26.16951249068843,0.035749192984913344,2.4314536374899186E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
20110403,4/3/2011,0,0.028612483083874922,0.12006013511957594,0,0,0,25.58830494493385,0.035206839,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20110404,4/4/2011,0,0.011141316877640584,0.028612483083874922,0,0,0,25.08339660277468,0.034680781,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20110405,4/5/2011,0,0,0.028612483083874922,0,0,0,24.679036781322875,0.034210067127067756,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20110406,4/6/2011,0,0,0.011141316877640584,0,0,0,24.271491081802203,0.033741924,1.2157268187449593E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
20110407,4/7/2011,0,0,0,0,0,0,23.85725967734821,0.033280036,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20110408,4/8/2011,0,0,0,0,0,0,23.551063062980642,0.032857367,6.3735125135905954E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
20110409,4/9/2011,0,0,0,0,0,0,23.318178712674143,0.032494749,4.961200081601771E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
20110410,4/10/2011,0,0,0,0,0,0,23.005049497798755,0.032108412,3.6471804562348783E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
